Name,Path,KL
labeled_KL0_image181.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image181.png,0
labeled_KL0_image195.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image195.png,0
labeled_KL0_image803.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image803.png,0
labeled_KL0_image817.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image817.png,0
labeled_KL0_image624.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image624.png,0
labeled_KL0_image142.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image142.png,0
labeled_KL0_image156.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image156.png,0
labeled_KL0_image630.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image630.png,0
labeled_KL0_image618.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image618.png,0
labeled_KL0_image383.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image383.png,0
labeled_KL0_image397.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image397.png,0
labeled_KL0_image340.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image340.png,0
labeled_KL0_image426.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image426.png,0
labeled_KL0_image432.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image432.png,0
labeled_KL0_image354.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image354.png,0
labeled_KL0_image368.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image368.png,0
labeled_KL0_image63.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image63.png,0
labeled_KL0_image591.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image591.png,0
labeled_KL0_image585.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image585.png,0
labeled_KL0_image77.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image77.png,0
labeled_KL0_image234.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image234.png,0
labeled_KL0_image552.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image552.png,0
labeled_KL0_image546.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image546.png,0
labeled_KL0_image220.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image220.png,0
labeled_KL0_image208.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image208.png,0
labeled_KL0_image88.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image88.png,0
labeled_KL0_image793.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image793.png,0
labeled_KL0_image787.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image787.png,0
labeled_KL0_image750.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image750.png,0
labeled_KL0_image744.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image744.png,0
labeled_KL0_image778.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image778.png,0
labeled_KL0_image779.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image779.png,0
labeled_KL0_image745.png,data/archive/OSAIL_KL_Dataset/Labeled/0/labeled_KL0_image745.png,0
